Dest_Row,Source_Sheet,Source_Row,Value,Source_Location,Status
12,Key Metrics,6,76905,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|6|CO,POPULATED
13,Key Metrics,7,20809,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|7|CO,POPULATED
14,Key Metrics,8,53722,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|8|CO,POPULATED
15,Key Metrics,9,64875,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|9|CO,POPULATED
16,Key Metrics,10,10215,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|10|CO,POPULATED
17,Key Metrics,11,27643,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|11|CO,POPULATED
18,Key Metrics,12,3476,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|12|CO,POPULATED
19,Key Metrics,13,257645,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|13|CO,POPULATED
22,Key Metrics,26,225773,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|26|CO,POPULATED
23,Key Metrics,27,31872,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|27|CO,POPULATED
27,Key Metrics,31,257645,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|31|CO,POPULATED
30,Key Metrics,46,82225,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|46|CO,POPULATED
31,Key Metrics,47,15758,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|47|CO,POPULATED
32,Key Metrics,48,42536,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|48|CO,POPULATED
33,Key Metrics,49,10549,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|49|CO,POPULATED
34,Key Metrics,50,38668,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|50|CO,POPULATED
35,Key Metrics,51,67909,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|51|CO,POPULATED
36,Key Metrics,52,257645,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|52|CO,POPULATED
48,Key Metrics,16,0.2984921112383318,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|16|CO,POPULATED
49,Key Metrics,17,0.0807661705059287,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|17|CO,POPULATED
50,Key Metrics,18,0.2085117118515787,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|18|CO,POPULATED
51,Key Metrics,19,0.2517999573055949,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|19|CO,POPULATED
52,Key Metrics,20,0.039647577092511016,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|20|CO,POPULATED
53,Key Metrics,21,0.10729103999689495,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|21|CO,POPULATED
54,Key Metrics,22,0.013491432009159891,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|22|CO,POPULATED
55,Key Metrics,23,1,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|23|CO,POPULATED
58,Key Metrics,34,0.876294901899901,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|34|CO,POPULATED
63,Key Metrics,43,1,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|43|CO,POPULATED
66,Key Metrics,55,0.3191406780647791,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|55|CO,POPULATED
67,Key Metrics,56,0.06116167594946535,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|56|CO,POPULATED
68,Key Metrics,57,0.1650953831822857,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|57|CO,POPULATED
69,Key Metrics,58,0.04094393448349473,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|58|CO,POPULATED
70,Key Metrics,59,0.15008247782801917,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|59|CO,POPULATED
71,Key Metrics,60,0.263575850491956,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|60|CO,POPULATED
72,Key Metrics,61,1,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|61|CO,POPULATED
79,Key Metrics,13,257645,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|13|CO,POPULATED
80,Income Statement,6,161459,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|6|CO,POPULATED
81,Income Statement,7,96186,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|7|CO,POPULATED
82,Income Statement,10,22487,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|10|CO,POPULATED
83,Income Statement,11,27487,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|11|CO,POPULATED
84,Income Statement,12,31602,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|12|CO,POPULATED
85,Income Statement,17,3244,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|17|CO,POPULATED
86,Income Statement,18,84146,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|18|CO,POPULATED
87,Income Statement,20,12040,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|20|CO,POPULATED
88,Income Statement,23,12778,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|23|CO,POPULATED
89,Income Statement,24,194,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|24|CO,POPULATED
90,Income Statement,25,12972,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|25|CO,POPULATED
91,Income Statement,27,25012,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|27|CO,POPULATED
92,Income Statement,28,4858,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|28|CO,POPULATED
93,Income Statement,30,20154,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|30|CO,POPULATED
95,Income Statement,33,20154,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|33|CO,POPULATED
97,Income Statement,36,0.45,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|36|CO,POPULATED
98,Income Statement,37,0.45,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|37|CO,POPULATED
100,Income Statement,40,44918,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|40|CO,POPULATED
101,Income Statement,41,45012,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Income Statement|41|CO,POPULATED
123,Balance Sheet,7,720540,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|7|CO,POPULATED
124,Balance Sheet,8,343363,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|8|CO,POPULATED
125,Balance Sheet,9,176153,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|9|CO,POPULATED
126,Balance Sheet,10,400839,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|10|CO,POPULATED
127,Balance Sheet,14,30208,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|14|CO,POPULATED
128,Balance Sheet,15,46849,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|15|CO,POPULATED
130,Balance Sheet,16,1717952,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|16|CO,POPULATED
131,Balance Sheet,18,88865,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|18|CO,POPULATED
132,Balance Sheet,19,38278,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|19|CO,POPULATED
133,Balance Sheet,20,23423,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|20|CO,POPULATED
134,Balance Sheet,21,593136,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|21|CO,POPULATED
135,Balance Sheet,22,33777,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|22|CO,POPULATED
136,Balance Sheet,23,2495431,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|23|CO,POPULATED
139,Balance Sheet,29,26232,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|29|CO,POPULATED
140,Balance Sheet,30+31+32+33,161229,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|30+31+32+33|CO,POPULATED
141,Balance Sheet,34,3022,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|34|CO,POPULATED
143,Balance Sheet,35,190483,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|35|CO,POPULATED
144,Balance Sheet,37,51578,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|37|CO,POPULATED
145,Balance Sheet,38,0,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|38|CO,POPULATED
146,Balance Sheet,39,242061,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|39|CO,POPULATED
149,Balance Sheet,45,-1373525,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|45|CO,POPULATED
150,Balance Sheet,46,1014094,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|46|CO,POPULATED
151,Balance Sheet,48,2839647,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|48|CO,POPULATED
152,Balance Sheet,49,-226852,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|49|CO,POPULATED
153,Balance Sheet,50,2253370,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|50|CO,POPULATED
154,Balance Sheet,52,0,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|52|CO,POPULATED
155,Balance Sheet,53,2253370,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|53|CO,POPULATED
156,Balance Sheet,54,2495431,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Balance Sheet|54|CO,POPULATED
171,Cash Flows,6,20154,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|6|CO,POPULATED
173,Key Metrics,47,15758,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Key Metrics|47|CO,POPULATED
174,Cash Flows,11,-3324,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|11|CO,POPULATED
175,Cash Flows,12,8544,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|12|CO,POPULATED
177,Cash Flows,15,-5592,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|15|CO,POPULATED
178,Cash Flows,16,15604,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|16|CO,POPULATED
180,Cash Flows,18,6155,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|18|CO,POPULATED
181,Cash Flows,19,15543,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|19|CO,POPULATED
182,Cash Flows,20,200,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|20|CO,POPULATED
183,Cash Flows,21,1002,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|21|CO,POPULATED
184,Cash Flows,22,-2035,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|22|CO,POPULATED
185,Cash Flows,23,-18306,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|23|CO,POPULATED
187,Cash Flows,24,53458,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|24|CO,POPULATED
190,Cash Flows,27,-24218,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|27|CO,POPULATED
192,Cash Flows,29,3012,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|29|CO,POPULATED
193,Cash Flows,30,-75020,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|30|CO,POPULATED
194,Cash Flows,31,381103,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|31|CO,POPULATED
196,Cash Flows,34,31,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|34|CO,POPULATED
197,Cash Flows,35,284908,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|35|CO,POPULATED
205,Cash Flows,42,0,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|42|CO,POPULATED
206,Cash Flows,43,2950,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|43|CO,POPULATED
207,Cash Flows,44,-122404,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|44|CO,POPULATED
212,Cash Flows,49,-119454,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|49|CO,POPULATED
214,Cash Flows,51,5176,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|51|CO,POPULATED
215,Cash Flows,53,224088,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|53|CO,POPULATED
216,Cash Flows,54,496452,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|54|CO,POPULATED
217,Cash Flows,55,720540,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|55|CO,POPULATED
219,Cash Flows,57,720540,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|57|CO,POPULATED
221,Cash Flows,60,90,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|60|CO,POPULATED
222,Cash Flows,61,26160,IPGP-Financial-Data-Workbook-2024-Q2.xlsx|Cash Flows|61|CO,POPULATED
