Row_Number,Original_Field_Name,Cleaned_Field_Name,Section_Context,Subsection_Context,Basic_Scoped_Name,Enhanced_Scoped_Name,Row_Type,Has_Data,2006_Q1,2006_Q2,2006_Q3,2006_Q4,2006_Q4,2007_Q1,2007_Q2,2007_Q3,2007_Q4,2007_Q4,2008_Q1,2008_Q2,2008_Q3,2008_Q4,2008_Q4,2009_Q1,2009_Q2,2009_Q3
6,North America,North_America,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.North_America,Revenue_Statement.Geographic_Breakdown.North_America,data_field,Yes,,,,45519,45519,,,,53272,53272,,,,52018,52018,,,
7,Germany,Germany,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Germany,Revenue_Statement.Geographic_Breakdown.Germany,data_field,Yes,,,,24454,24454,,,,33450,33450,,,,44771,44771,,,
8,Other Europe,Other_Europe,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Other_Europe,Revenue_Statement.Geographic_Breakdown.Other_Europe,data_field,Yes,,,,24037,24037,,,,39345,39345,,,,49306,49306,,,
9,China,China,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.China,Revenue_Statement.Geographic_Breakdown.China,data_field,Yes,,,,,,,,,,,,,,14781,14781,,,
10,Japan,Japan,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Japan,Revenue_Statement.Geographic_Breakdown.Japan,data_field,Yes,,,,35585,35585,,,,32894,32894,,,,41310,41310,,,
11,Other Asia,Other_Asia,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Other_Asia,Revenue_Statement.Geographic_Breakdown.Other_Asia,data_field,Yes,,,,13184,13184,,,,29670,29670,,,,21491,21491,,,
12,Rest of World,Rest_Of_World,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Rest_Of_World,Revenue_Statement.Geographic_Breakdown.Rest_Of_World,data_field,Yes,,,,446,446,,,,46,46,,,,5399,5399,,,
13,Total revenue,Total_Revenue,Revenue_By_Region,,Key_Metrics.Revenue_By_Region.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,Yes,,,,143225,143225,,,,188677,188677,,,,229076,229076,,,
16,North America,North_America,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.North_America,Revenue_Statement.Geographic_Breakdown.North_America,data_field,Yes,,,,0.31781462733461335,0.31781462733461335,,,,0.2823449599050229,0.2823449599050229,,,,0.22707747647069096,0.22707747647069096,,,
17,Germany,Germany,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Germany,Revenue_Statement.Geographic_Breakdown.Germany,data_field,Yes,,,,0.1707383487519637,0.1707383487519637,,,,0.17728710971660563,0.17728710971660563,,,,0.19544168747489915,0.19544168747489915,,,
18,Other Europe,Other_Europe,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Other_Europe,Revenue_Statement.Geographic_Breakdown.Other_Europe,data_field,Yes,,,,0.1678268458718799,0.1678268458718799,,,,0.20853098151868008,0.20853098151868008,,,,0.21523861076673242,0.21523861076673242,,,
19,China,China,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.China,Revenue_Statement.Geographic_Breakdown.China,data_field,Yes,,,,,,,,,,,,,,0.06452443730464999,0.06452443730464999,,,
20,Japan,Japan,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Japan,Revenue_Statement.Geographic_Breakdown.Japan,data_field,Yes,,,,0.24845522778844475,0.24845522778844475,,,,0.17434027464926832,0.17434027464926832,,,,0.18033316453927953,0.18033316453927953,,,
21,Other Asia,Other_Asia,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Other_Asia,Revenue_Statement.Geographic_Breakdown.Other_Asia,data_field,Yes,,,,0.09205096875545471,0.09205096875545471,,,,0.15725287130916857,0.15725287130916857,,,,0.09381602612233494,0.09381602612233494,,,
22,Rest of World,Rest_Of_World,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Rest_Of_World,Revenue_Statement.Geographic_Breakdown.Rest_Of_World,data_field,Yes,,,,0.003113981497643568,0.003113981497643568,,,,0.00024380290125452492,0.00024380290125452492,,,,0.02356859732141298,0.02356859732141298,,,
23,Total revenue,Total_Revenue,Revenue_By_Region_Of_Total,,Key_Metrics.Revenue_By_Region_Of_Total.Total_Revenue,Revenue_Statement.Totals.Total_Revenue,data_field,Yes,,,,1,1,,,,1,1,,,,1,1,,,
